"rec","presence","site","year","month","day","hour","minute","species","songtype"
"20240928_192500.WAV",0,Winkeläcker,2024,9,28,19,32,"Strix aluco","Common Song"
"20240928_192500.WAV",0,Winkeläcker,2024,9,28,19,33,"Strix aluco","Common Song"
"20240928_192500.WAV",0,Winkeläcker,2024,9,28,19,34,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,50,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,51,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,52,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,53,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,54,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,55,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,56,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,57,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,58,"Strix aluco","Common Song"
"20240930_055000.WAV",0,Winkeläcker,2024,9,30,5,59,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,20,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,21,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,22,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,23,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,24,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,25,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,26,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,27,"Strix aluco","Common Song"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,28,"Strix aluco","Common Song"
