"rec","presence","site","year","month","day","hour","minute","species","songtype"
"20250207_184501.WAV",0,Rändli,2025,2,7,18,48,"Strix aluco","Common Song"
"20250207_184501.WAV",0,Rändli,2025,2,7,18,49,"Strix aluco","Common Song"
"20250207_184501.WAV",0,Rändli,2025,2,7,18,50,"Strix aluco","Common Song"
"20250207_184501.WAV",0,Rändli,2025,2,7,18,51,"Strix aluco","Common Song"
"20250207_184501.WAV",0,Rändli,2025,2,7,18,52,"Strix aluco","Common Song"
"20250207_184501.WAV",0,Rändli,2025,2,7,18,53,"Strix aluco","Common Song"
"20250207_184501.WAV",0,Rändli,2025,2,7,18,54,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,45,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,46,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,47,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,48,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,49,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,50,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,51,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,52,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,53,"Strix aluco","Common Song"
"20250203_194500.WAV",0,Rändli,2025,2,3,19,54,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,35,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,36,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,37,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,38,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,39,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,40,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,41,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,42,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,43,"Strix aluco","Common Song"
"20250208_083500.WAV",0,Rändli,2025,2,8,8,44,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,20,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,21,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,22,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,23,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,24,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,25,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,26,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,27,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,28,"Strix aluco","Common Song"
"20250211_072000.WAV",0,Rändli,2025,2,11,7,29,"Strix aluco","Common Song"
"20250205_073000.WAV",1,Rändli,2025,2,5,7,30,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,31,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,32,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,33,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,34,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,35,"Strix aluco","Common Song"
"20250205_073000.WAV",1,Rändli,2025,2,5,7,36,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,37,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,38,"Strix aluco","Common Song"
"20250205_073000.WAV",0,Rändli,2025,2,5,7,39,"Strix aluco","Common Song"
"20250211_081000.WAV",0,Rändli,2025,2,11,8,10,"Strix aluco","Common Song"
"20250211_081000.WAV",0,Rändli,2025,2,11,8,11,"Strix aluco","Common Song"
"20250211_081000.WAV",0,Rändli,2025,2,11,8,12,"Strix aluco","Common Song"
"20250211_081000.WAV",0,Rändli,2025,2,11,8,13,"Strix aluco","Common Song"
